"x","y","solar","temperature","slope","road","grid","constrained","ahp"
102.68579,-1.48262,16845190,3,2,2,2,1,28.9148786549317
103.08579,-1.78262,16867366,3,2,2,2,1,28.9357383860018
103.18579,-1.78262,16826852,3,2,2,2,1,28.8976291172169
102.98579,-1.88262,16895308,3,2,2,2,1,28.9620218729048
102.98579,-1.98262,16888810,3,2,2,2,1,28.9559095653428
101.58579,-2.08262,16922398,1,1.90641033649445,2,2,1,28.8360098711148
104.08579,-2.88262,16804226,3,2,2,2,1,28.8763460961495
102.78579,-3.08262,16819270,3,2,2,2,1,28.8904971510836
119.98579,-3.08262,16879274,2,1.89923357963562,2,2,1,28.7838284678759
104.48579,-3.18262,16865798,3,2,2,2,1,28.9342634555221
104.58579,-3.18262,16826828,3,2,2,2,1,28.8976065417504
119.78579,-3.18262,17314248,2,1.41417145729065,2,2,1,28.4078118417066
119.88579,-3.28262,17260730,2,1.99974584579468,2,2,1,29.3053426442496
119.78579,-3.38262,17414742,2,1.6946976184845,2,2,1,28.9564300737641
120.08579,-3.98262,16806892,3,2,2,2,1,28.8788538542227
120.18579,-3.98262,16982374,3,2,2,2,1,29.0439200215947
120.28579,-3.98262,17094094,3,2,2,2,1,29.1490088182735
122.48579,-3.98262,17238408,3,2,2,2,1,29.2847569797836
122.48579,-4.08262,17032328,3,2,2,2,1,29.0909089738798
122.58579,-4.08262,16956870,3,2,2,2,1,29.019929825833
120.38579,-8.68262,19522888,2,1.82597291469574,2,2,1,31.151941867467
